NAME	POS	SCHOOL	HT	WT	BMI	40YD	SPEED	VERTICAL	BROAD	BENCH	3CONE	SHUTTLE	YEAR	ROUND	SPORQ
Saquon Barkley	RB	Penn St.	6' 0"	233	31.60	4.40	124.3	41.0	-	29	-	4.24	2018	1	100.0
Jonathan Stewart	RB	Oregon	5' 10"	235	33.72	4.46	118.8	36.5	128.0	28	-	-	2008	1	99.8
AJ Dillon	RB	Boston College	6' 0"	247	33.50	4.53	117.3	41.0	131.0	23	7.19	-	2020	2	99.7
Bhayshul Tuten	RB	Virginia Tech	5' 9.5"	206	29.98	4.32	118.3	40.5	130.0	-	-	4.41	2025	4	99.5
Jerick McKinnon	RB	Georgia Southern	5' 9"	209	30.86	4.41	110.5	40.5	132.0	32	6.83	4.12	2014	3	99.4
Curtis Keaton	RB	West Virginia	5' 10"	214	30.70	4.41	113.2	41.5	131.0	23	6.82	3.93	2000	4	99.2
Isaac Guerendo	RB	Louisville	6' 0"	221	29.97	4.33	125.7	41.5	129.0	-	6.94	4.15	2024	4	99.1
Ben Tate	RB	Auburn	5' 11"	220	30.68	4.34	124.0	40.5	124.0	26	6.91	4.12	2010	2	99.0
LaDainian Tomlinson	RB	TCU	5' 10"	221	31.71	4.46	111.7	40.5	124.0	18	6.84	4.21	2001	1	98.8
Breece Hall	RB	Iowa St.	5' 11"	217	30.26	4.39	116.9	40.0	126.0	-	-	-	2022	2	98.7
Seth McGowan	RB	Kentucky	6' 0"	223	30.24	4.49	109.7	42.5	131.0	-	-	4.50	2026	TBD	98.5
Derrick Henry	RB	Alabama	6' 3"	247	30.87	4.54	116.3	37.0	130.0	22	7.20	4.38	2016	2	98.4
David Johnson	RB	Northern Iowa	6' 1"	224	29.55	4.50	109.3	41.5	127.0	25	6.82	4.27	2015	3	98.2
Keith Marshall	RB	Georgia	5' 11"	219	30.54	4.31	126.9	30.5	-	25	-	-	2016	7	98.1
Doug Martin	RB	Boise St.	5' 9"	223	32.93	4.46	112.7	36.0	120.0	28	6.79	4.16	2012	1	98.0
Bo Scarbrough	RB	Alabama	6' 1"	228	30.08	4.52	109.2	40.0	129.0	14	-	4.34	2018	7	97.8
Knile Davis	RB	Arkansas	5' 11"	227	31.66	4.37	124.5	33.5	121.0	31	6.96	4.38	2013	3	97.7
Montario Hardesty	RB	Tennessee	6' 0"	225	30.51	4.49	110.7	41.0	124.0	21	6.87	4.14	2010	2	97.5
Justin Fargas	RB	USC	6' 1"	219	28.89	4.35	122.3	-	137.0	27	-	-	2003	3	97.4
Eric Shelton	RB	Louisville	6' 1"	246	32.45	4.53	116.8	38.5	124.0	-	7.44	4.08	2005	2	97.3
Marion Barber	RB	Minnesota	5' 11"	221	30.82	4.49	108.8	40.0	127.0	20	-	-	2005	4	97.1
Mike Washington Jr.	RB	Arkansas	6' 1"	223	29.42	4.33	126.9	39.0	128.0	-	-	-	2026	TBD	97.0
Josh Scobey	RB	Kansas St.	5' 11"	218	30.40	4.42	114.2	40.5	124.0	21	6.96	3.93	2002	6	96.8
Lamar Miller	RB	Miami (FL)	5' 11"	212	29.56	4.34	119.5	33.0	-	-	-	-	2012	4	96.7
Michael Bennett	RB	Wisconsin	5' 9"	207	30.57	4.38	112.5	39.5	130.0	13	-	-	2001	1	96.5
Chris Johnson	RB	East Carolina	5' 11"	197	27.47	4.24	121.9	35.0	130.0	-	-	-	2008	1	96.3
Luke Staley	RB	BYU	6' 1"	227	29.95	4.42	119.0	-	-	-	-	-	2002	7	96.1
Kene Nwangwu	RB	Iowa State	6' 0"	210	28.48	4.31	121.7	38.0	125.0	22	6.83	4.25	2021	4	96.0
Deuce McAllister	RB	Mississippi	6' 1"	222	29.29	4.41	117.4	-	-	-	-	-	2001	1	95.8
Omarion Hampton	RB	North Carolina	6' 0"	221	29.97	4.46	111.7	38.0	130.0	18	-	4.40	2025	1	95.7
Jeremiyah Love	RB	Notre Dame	6' 0"	212	28.75	4.36	117.3	-	-	-	-	-	2026	TBD	95.6
LenDale White	RB	USC	6' 0"	238	32.28	4.49	117.1	-	-	-	-	-	2006	2	95.4
Darren McFadden	RB	Arkansas	6' 1"	211	27.84	4.33	120.0	33.0	128.0	-	-	-	2008	1	95.3
Jonathan Wells	RB	Ohio St.	6' 1"	243	32.06	4.52	116.4	-	-	-	-	-	2002	4	95.1
Larry Johnson	RB	Penn St.	6' 1"	228	30.08	4.45	116.3	-	-	19	-	-	2003	1	95.0
