cohort,player_count,players,year_1_avg_ppr,year_2_avg_ppr,year_3_avg_ppr,year_1_median_ppr,year_2_median_ppr,year_3_median_ppr,year_1_avg_ppr_per_game,year_2_avg_ppr_per_game,year_3_avg_ppr_per_game,complete_year_1_count,complete_year_2_count,complete_year_3_count,incomplete_notes
day2_skill_since_2020,95,A.Dillon|A.Gibson|B.Edwards|C.Akers|C.Claypool|C.Kmet|D.Asiasi|D.Duvernay|D.Evans|D.Keene|D.Mims|D.Swift|J.Deguara|J.Dobbins|J.Taylor|K.Hamler|K.Vaughn|L.Bowden|L.Shenault|M.Pittman|T.Higgins|V.Jefferson|Z.Moss|A.Rodgers|A.Schwartz|D.Brown|D.Eskridge|E.Moore|H.Long|J.Palmer|J.Williams|N.Collins|P.Freiermuth|R.Moore|T.Atwell|T.Marshall|T.McKitty|T.Sermon|T.Tremble|A.Pierce|B.Hall|B.Robinson|C.Watson|D.Bell|G.Dulcich|G.Pickens|J.Cook|J.Metchie|J.Ruckert|J.Tolbert|J.Woods|K.Walker|R.White|S.Moore|T.Davis-Price|T.McBride|T.Thornton|V.Jones|W.Robinson|B.Strange|C.Tillman|D.Achane|D.Washington|J.Downs|J.Hyatt|J.Mingo|J.Reed|K.Miller|L.Musgrave|L.Schoonmaker|M.Mayer|M.Mims|M.Wilson|R.Rice|S.LaPorta|T.Bigsby|T.Dell|T.Kraft|T.Spears|T.Tucker|Z.Charbonnet|A.Mitchell|B.Corum|B.Sinnott|J.Brooks|J.Burton|J.McMillan|J.Polk|K.Coleman|L.McCaffrey|L.McConkey|M.Corley|M.Lloyd|T.Benson|T.Reiman,88.31,110.04,104.92,66.3,90.6,103.0,7.234,8.369,7.999,93,76,53,"T.Atwell: year_1 elapsed but no stat row (DNP/no stats) ; J.Metchie: year_1 elapsed but no stat row (DNP/no stats) ; D.Asiasi: year_2 elapsed but no stat row (DNP/no stats) ; D.Keene: year_2 elapsed but no stat row (DNP/no stats) ; J.Dobbins: year_2 elapsed but no stat row (DNP/no stats) ; L.Bowden: year_2 elapsed but no stat row (DNP/no stats) ; J.Woods: year_2 elapsed but no stat row (DNP/no stats) ; A.Mitchell: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Corum: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Sinnott: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Brooks: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Burton: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.McMillan: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Polk: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; K.Coleman: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; L.McCaffrey: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; L.McConkey: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Corley: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Lloyd: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; T.Benson: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; T.Reiman: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; D.Keene: year_3 elapsed but no stat row (DNP/no stats) ; L.Bowden: year_3 elapsed but no stat row (DNP/no stats) ; A.Schwartz: year_3 elapsed but no stat row (DNP/no stats) ; H.Long: year_3 elapsed but no stat row (DNP/no stats) ; T.McKitty: year_3 elapsed but no stat row (DNP/no stats) ; J.Woods: year_3 elapsed but no stat row (DNP/no stats) ; B.Strange: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; C.Tillman: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; D.Achane: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; D.Washington: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Downs: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Hyatt: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Mingo: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Reed: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; K.Miller: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; L.Musgrave: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; L.Schoonmaker: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; M.Mayer: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; M.Mims: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; M.Wilson: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; R.Rice: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; S.LaPorta: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Bigsby: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Dell: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Kraft: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Spears: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Tucker: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; Z.Charbonnet: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; A.Mitchell: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Corum: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Sinnott: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Brooks: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Burton: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.McMillan: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Polk: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; K.Coleman: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; L.McCaffrey: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; L.McConkey: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Corley: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Lloyd: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; T.Benson: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; T.Reiman: year_3 not yet elapsed (draft_year=2024, latest_season=2024)"
early_round2_skill_since_2020,20,C.Kmet|D.Swift|J.Taylor|L.Shenault|M.Pittman|T.Higgins|E.Moore|J.Williams|B.Hall|C.Watson|J.Metchie|K.Walker|W.Robinson|J.Mingo|L.Musgrave|M.Mayer|S.LaPorta|J.Polk|K.Coleman|L.McConkey,149.69,148.69,163.62,138.2,129.0,177.2,10.975,10.183,11.445,19,17,13,"J.Metchie: year_1 elapsed but no stat row (DNP/no stats) ; J.Polk: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; K.Coleman: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; L.McConkey: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Mingo: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; L.Musgrave: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; M.Mayer: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; S.LaPorta: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Polk: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; K.Coleman: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; L.McConkey: year_3 not yet elapsed (draft_year=2024, latest_season=2024)"
mid_late_round2_skill_since_2020,27,A.Dillon|C.Akers|C.Claypool|D.Mims|J.Dobbins|K.Hamler|V.Jefferson|D.Eskridge|P.Freiermuth|R.Moore|T.Atwell|T.Marshall|A.Pierce|G.Pickens|J.Cook|S.Moore|T.McBride|T.Thornton|B.Strange|J.Reed|L.Schoonmaker|M.Mims|R.Rice|Z.Charbonnet|A.Mitchell|B.Sinnott|J.Brooks,98.05,113.16,106.73,67.5,93.1,102.35,7.307,8.781,8.142,26,23,18,"T.Atwell: year_1 elapsed but no stat row (DNP/no stats) ; J.Dobbins: year_2 elapsed but no stat row (DNP/no stats) ; A.Mitchell: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Sinnott: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Brooks: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Strange: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Reed: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; L.Schoonmaker: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; M.Mims: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; R.Rice: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; Z.Charbonnet: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; A.Mitchell: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; B.Sinnott: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Brooks: year_3 not yet elapsed (draft_year=2024, latest_season=2024)"
qb_day2_since_2020,8,J.Hurts|D.Mills|K.Mond|K.Trask|D.Ridder|M.Willis|H.Hooker|W.Levis,15.92,33.63,44.42,9.05,18.3,3.6,2.103,2.682,3.473,6,7,5,"K.Trask: year_1 elapsed but no stat row (DNP/no stats) ; H.Hooker: year_1 elapsed but no stat row (DNP/no stats) ; K.Mond: year_2 elapsed but no stat row (DNP/no stats) ; K.Mond: year_3 elapsed but no stat row (DNP/no stats) ; H.Hooker: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; W.Levis: year_3 not yet elapsed (draft_year=2023, latest_season=2024)"
qb_round1_since_2022,9,K.Pickett|A.Richardson|B.Young|C.Stroud|B.Nix|C.Williams|D.Maye|J.Daniels|M.Penix,52.61,47.7,6.8,41.7,46.3,6.8,4.285,3.956,2.267,9,4,1,"B.Nix: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; C.Williams: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; D.Maye: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Daniels: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Penix: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; A.Richardson: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; B.Young: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; C.Stroud: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; B.Nix: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; C.Williams: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; D.Maye: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Daniels: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Penix: year_3 not yet elapsed (draft_year=2024, latest_season=2024)"
qb_round2_since_2020,3,J.Hurts|K.Trask|W.Levis,33.2,53.53,99.1,33.2,18.3,99.1,3.71,3.575,5.508,2,3,2,"K.Trask: year_1 elapsed but no stat row (DNP/no stats) ; W.Levis: year_3 not yet elapsed (draft_year=2023, latest_season=2024)"
qb_round3_since_2020,5,D.Mills|K.Mond|D.Ridder|M.Willis|H.Hooker,7.28,18.7,7.97,5.4,12.45,3.6,1.3,2.012,2.117,4,4,3,"H.Hooker: year_1 elapsed but no stat row (DNP/no stats) ; K.Mond: year_2 elapsed but no stat row (DNP/no stats) ; K.Mond: year_3 elapsed but no stat row (DNP/no stats) ; H.Hooker: year_3 not yet elapsed (draft_year=2023, latest_season=2024)"
rb_day2_since_2020,26,A.Dillon|A.Gibson|C.Akers|D.Evans|D.Swift|J.Dobbins|J.Taylor|K.Vaughn|Z.Moss|J.Williams|T.Sermon|B.Hall|B.Robinson|J.Cook|K.Walker|R.White|T.Davis-Price|D.Achane|K.Miller|T.Bigsby|T.Spears|Z.Charbonnet|B.Corum|J.Brooks|M.Lloyd|T.Benson,107.59,155.82,138.71,111.5,183.7,165.9,8.375,10.968,9.939,26,21,17,"J.Dobbins: year_2 elapsed but no stat row (DNP/no stats) ; B.Corum: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Brooks: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Lloyd: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; T.Benson: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; D.Achane: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; K.Miller: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Bigsby: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; T.Spears: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; Z.Charbonnet: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; B.Corum: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; J.Brooks: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; M.Lloyd: year_3 not yet elapsed (draft_year=2024, latest_season=2024) ; T.Benson: year_3 not yet elapsed (draft_year=2024, latest_season=2024)"
rb_round1_since_2022,2,B.Robinson|J.Gibbs,274.6,366.05,,274.6,366.05,,15.668,20.891,,2,2,0,"B.Robinson: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Gibbs: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; Small sample warning: 2 players in cohort"
rb_round2_since_2020,11,A.Dillon|C.Akers|D.Swift|J.Dobbins|J.Taylor|J.Williams|B.Hall|J.Cook|K.Walker|Z.Charbonnet|J.Brooks,147.1,199.79,186.63,146.0,199.4,177.2,10.743,13.616,13.175,11,9,9,"J.Dobbins: year_2 elapsed but no stat row (DNP/no stats) ; J.Brooks: year_2 not yet elapsed (draft_year=2024, latest_season=2024) ; Z.Charbonnet: year_3 not yet elapsed (draft_year=2023, latest_season=2024) ; J.Brooks: year_3 not yet elapsed (draft_year=2024, latest_season=2024)"
