rookie_alpha_rank,player_id,player_name,position,ras_0_100,athletic_score_0_100,athletic_source,production_0_100,draft_capital_proxy_0_100,talent_score_0_100,rookie_alpha_0_100,consensus_delta,talent_rank,draft_proxy_delta,model_inputs_missing,market_conviction_ras_override,wr_translation_penalty
1,wr-garrett-wilson,Garrett Wilson,WR,58.057,58.057,RAS,85.0,90.0,73.2124,76.57,-13.4,3,2,,,
2,wr-chris-olave,Chris Olave,WR,59.1256,59.1256,RAS,78.0,88.0,69.7425,73.394,-14.6,4,2,,,
3,rb-kenneth-walker-iii,Kenneth Walker III,RB,,61.0048,COMBINE_FALLBACK,90.0,57.0,77.3146,73.2517,16.3,1,-2,,,
4,rb-breece-hall,Breece Hall,RB,54.857,54.857,RAS,88.0,62.0,73.5,71.2,9.2,2,-2,,,
5,wr-drake-london,Drake London,WR,34.5637,34.5637,RAS,80.0,92.0,60.1216,70.4973,-21.5,11,6,,4.0,
6,wr-jameson-williams,Jameson Williams,WR,,37.6423,COMBINE_FALLBACK,88.0,88.0,65.9685,70.3748,-17.6,6,0,,,
7,wr-wandale-robinson,Wan'Dale Robinson,WR,,47.2365,COMBINE_FALLBACK,82.0,55.0,66.791,64.4328,9.4,5,-2,,,
8,wr-treylon-burks,Treylon Burks,WR,43.961,43.961,RAS,70.0,82.0,58.6079,63.2863,-18.7,12,4,,,
9,wr-alec-pierce,Alec Pierce,WR,,60.6894,COMBINE_FALLBACK,65.0,45.0,63.1141,59.4913,14.5,9,0,,,
10,te-trey-mcbride,Trey McBride,TE,,44.4444,COMBINE_FALLBACK,78.0,43.0,63.3194,59.2556,16.3,8,-2,,,
11,te-jake-ferguson,Jake Ferguson,TE,,66.6667,COMBINE_FALLBACK,62.0,20.0,64.0417,55.2333,35.2,7,-4,,,
12,rb-jaylen-warren,Jaylen Warren,RB,,53.9364,COMBINE_FALLBACK,66.0,8.0,60.7222,50.1778,42.2,10,-2,,,
13,wr-george-pickens,George Pickens,WR,,51.6161,COMBINE_FALLBACK,45.0,46.0,47.8946,47.5157,1.5,14,1,,,
14,rb-james-cook,James Cook,RB,,35.9804,COMBINE_FALLBACK,60.0,35.0,49.4914,46.5931,11.6,13,-1,,,
15,rb-kyren-williams,Kyren Williams,RB,,22.7279,COMBINE_FALLBACK,66.0,12.0,47.0684,40.0548,28.1,15,0,,,
