rookie_alpha_rank,player_id,player_name,position,ras_0_100,production_0_100,draft_capital_proxy_0_100,talent_score_0_100,rookie_alpha_0_100,consensus_delta,talent_rank,draft_proxy_delta,model_inputs_missing
1,rb-jeremiyah-love,Jeremiyah Love,RB,50.0,90.0,95.0,72.5,77.0,-18.0,1,0,ras
2,wr-jordyn-tyson,Jordyn Tyson,WR,50.0,82.88,95.0,68.495,73.796,-21.2,3,1,ras
3,qb-ty-simpson,Ty Simpson,QB,50.0,77.48,85.0,65.4575,69.366,-15.6,5,2,ras
4,wr-carnell-tate,Carnell Tate,WR,50.0,72.02,95.0,62.3862,68.909,-26.1,8,4,ras
5,qb-fernando-mendoza,Fernando Mendoza,QB,50.0,70.34,95.0,61.4413,68.153,-26.8,10,5,ras
6,te-eli-stowers,Eli Stowers,TE,50.8029,84.2,55.0,69.5888,66.671,11.7,2,-4,
7,wr-makai-lemon,Makai Lemon,WR,53.4748,71.52,75.0,63.6252,65.9002,-9.1,6,-1,
8,wr-kc-concepcion,KC Concepcion,WR,50.0,72.96,75.0,62.915,65.332,-9.7,7,-1,ras
9,qb-garrett-nussmeier,Garrett Nussmeier,QB,50.0,80.52,55.0,67.1675,64.734,9.7,4,-5,ras
10,wr-denzel-boston,Denzel Boston,WR,46.0097,70.06,85.0,59.538,64.6304,-20.4,11,1,
11,rb-jonah-coleman,Jonah Coleman,RB,50.0,71.62,45.0,62.1613,58.729,13.7,9,-2,ras
12,wr-chris-brazzell-ii,Chris Brazzell II,WR,50.0,64.82,55.0,58.3362,57.669,2.7,12,0,ras
13,wr-chris-bell,Chris Bell,WR,50.0,53.76,75.0,52.115,56.692,-18.3,16,3,ras
14,qb-drew-allar,Drew Allar,QB,50.0,63.7,45.0,57.7063,55.165,10.2,13,-1,ras
15,wr-elijah-sarratt,Elijah Sarratt,WR,50.0,58.76,55.0,54.9275,54.942,-0.1,14,-1,ras
16,rb-mike-washington-jr,Mike Washington Jr.,RB,66.2859,45.44,55.0,54.5601,54.6481,-0.4,15,-1,
17,rb-jadarian-price,Jadarian Price,RB,31.2399,67.34,65.0,51.5462,54.237,-10.8,17,0,
18,te-kenyon-sadiq,Kenyon Sadiq,TE,45.0286,36.92,85.0,40.4675,49.374,-35.6,19,1,
19,wr-brenen-thompson,Brenen Thompson,WR,50.0,50.18,35.0,50.1013,47.081,12.1,18,-1,ras
20,rb-kaytron-allen,Kaytron Allen,RB,50.0,28.0,65.0,37.625,43.1,-21.9,20,0,ras
21,qb-carson-beck,Carson Beck,QB,50.0,26.28,55.0,36.6575,40.326,-14.7,21,0,ras
22,rb-seth-mcgowan,Seth McGowan,RB,50.0,24.8,55.0,35.825,39.66,-15.3,23,1,ras
23,wr-antonio-williams,Antonio Williams,WR,50.0,24.8,55.0,35.825,39.66,-15.3,24,1,ras
24,rb-nick-singleton,Nick Singleton,RB,50.0,26.28,45.0,36.6575,38.326,-6.7,22,-2,ras
25,te-max-klare,Max Klare,TE,50.0,20.22,55.0,33.2488,37.599,-17.4,26,1,ras
26,rb-emmett-johnson,Emmett Johnson,RB,50.0,22.0,45.0,34.25,36.4,-8.6,25,-1,ras
27,te-oscar-delp,Oscar Delp,TE,50.0,19.8,45.0,33.0125,35.41,-9.6,27,0,ras
