age_at_draft,athleticism_0_100,breakout_age,deterministic_grade_0_100,draft_capital_proxy_0_100,draft_year,early_declare_flag,hit_label,player_id,player_name,position,production_0_100,size_context_0_100,speed_proxy_0_100,target_threshold
,74.0,,,88.0,2018,,1,sample-qb-2018-a,Sample QB Profile A,QB,80.0,71.0,74.0,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,61.0,,,70.0,2019,,0,sample-qb-2019-b,Sample QB Profile B,QB,72.0,66.0,61.0,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,96.5,,,85.0,2018,,1,wr-dj-moore-2018,D.J. Moore,WR,,52.8,96.5,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,51.4,,,75.0,2018,,0,wr-calvin-ridley-2018,Calvin Ridley,WR,,49.1,51.4,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,98.7,,,65.0,2018,,1,wr-courtland-sutton-2018,Courtland Sutton,WR,,72.3,98.7,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,62.3,,,65.0,2018,,1,wr-christian-kirk-2018,Christian Kirk,WR,,45.3,62.3,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,74.5,,,85.0,2020,,0,wr-ceedee-lamb-2020,CeeDee Lamb,WR,68.7,75.0,74.5,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,67.8,,,85.0,2020,,1,wr-jerry-jeudy-2020,Jerry Jeudy,WR,45.1,65.0,67.8,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,96.9,,,75.0,2020,,1,wr-justin-jefferson-2020,Justin Jefferson,WR,50.9,45.0,96.9,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,84.6,,,75.0,2020,,0,wr-brandon-aiyuk-2020,Brandon Aiyuk,WR,52.1,30.0,84.6,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,41.6,,,65.0,2020,,1,wr-tee-higgins-2020,Tee Higgins,WR,62.2,50.0,41.6,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,63.2,,,80.0,2020,,1,wr-laviska-shenault-2020,Laviska Shenault Jr.,WR,,63.3,63.2,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,98.2,,,95.0,2021,,0,wr-jamarr-chase-2021,Ja'Marr Chase,WR,,65.0,98.2,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,,,,90.0,2021,,1,wr-jaylen-waddle-2021,Jaylen Waddle,WR,,45.0,,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,,,,85.0,2021,,1,wr-devonta-smith-2021,DeVonta Smith,WR,62.9,50.0,,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,89.9,,,75.0,2021,,0,wr-kadarius-toney-2021,Kadarius Toney,WR,40.9,20.0,89.9,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,80.4,,,80.0,2021,,1,wr-rashod-bateman-2021,Rashod Bateman,WR,24.1,55.0,80.4,"WR/RB<=24, TE<=12, QB<=15 by year 3"
,77.7,,,95.0,2022,,1,wr-garrett-wilson-2022,Garrett Wilson,WR,46.6,44.44,77.7,"WR/RB<=24, TE<=12, QB<=15 by year 3"
